id,reader,number,name,read_surat_link,download_surat_link,surat_time
,18,81,Surat  At-Takwir,https://www.quran.com/81,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/081.mp3,01:35
,18,82,Surat  Al-Infitar,https://www.quran.com/82,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/082.mp3,01:17
,18,83,Surat  Al-Mutaffifin,https://www.quran.com/83,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/083.mp3,03:00
,18,84,Surat  Al-Inshiqaq,https://www.quran.com/84,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/084.mp3,01:58
,18,85,Surat  Al-Buruj,https://www.quran.com/85,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/085.mp3,02:11
,18,86,Surat  At-Tariq,https://www.quran.com/86,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/086.mp3,00:56
,18,87,Surat  Al-A'la,https://www.quran.com/87,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/087.mp3,00:57
,18,88,Surat  Al-Ghashiyah,https://www.quran.com/88,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/088.mp3,01:50
,18,89,Surat  Al-Fajr,https://www.quran.com/89,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/089.mp3,02:37
,18,90,Surat  Al-Balad,https://www.quran.com/90,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/090.mp3,01:05
,18,91,Surat  Ash-Shams,https://www.quran.com/91,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/091.mp3,00:48
,18,92,Surat  Al-Layl,https://www.quran.com/92,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/092.mp3,01:21
,18,93,Surat  Ad-Duhaa,https://www.quran.com/93,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/093.mp3,00:38
,18,94,Surat  Ash-Sharh,https://www.quran.com/94,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/094.mp3,00:22
,18,95,Surat  At-Tin,https://www.quran.com/95,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/095.mp3,00:33
